day,old_sigmoid_anchor,new_covfree_forecast,q10,q90
1,1619.67,1619.22,1582.53,1659.96
2,1619.62,1619.68,1566.22,1679.99
3,1619.56,1617.5,1557.8,1686.79
4,1619.49,1619.53,1541.08,1702.86
5,1619.41,1614.79,1537.94,1710.23
6,1619.33,1618.25,1520.1,1716.02
7,1619.24,1616.66,1519.7,1716.26
8,1619.15,1619.15,1514.33,1728.7
9,1619.05,1619.11,1501.06,1739.52
10,1618.94,1619.11,1490.6,1750.16
11,1618.84,1616.23,1489.68,1764.46
12,1618.74,1617.95,1476.26,1767.87
13,1618.63,1617.52,1473.46,1767.92
14,1618.53,1612.13,1469.87,1774.83
15,1618.44,1616.23,1462.25,1782.22
16,1618.35,1612.03,1455.87,1779.6
17,1618.27,1612.46,1446.11,1800.9
18,1618.19,1617.9,1444.63,1784.6
19,1618.12,1612.25,1441.4,1798.92
20,1618.06,1609.88,1442.46,1809.46
21,1618.01,1613.77,1433.24,1808.6
22,1617.96,1614.73,1428.61,1800.93
